DSS y Ruta Materna Perinatal,Fecha,Región en Salud,Región Salud,Municipio,NOMBRE DEL PRESTADOR - ESE,Servicios,"Problema trazador priorizado ",Fuentes,Responsable del diligenciamiento,"Identificación de Determinantes Sociales de la Salud										 ",Identificación de Determinantes Sociales de la Salud.,Categoría del determinante,Subcategoría,Determinante identificado,Descripción del hallazgo,Evidencia o fuente de información,Relación con el problema trazador,Nivel de incidencia,"Barrera identificada, marcacion multiple.",Oportunidad de mejora preliminar,Observaciones,Síntesis del análisis DSS,Determinante crítico identificado,Categoría principal asociada,Barrera más relevante,Relación con la Ruta Materna Perinatal,Oportunidad de mejora prioritaria,Insumo para Protocolo de Londres,Síntesis del análisis Ruta Materna,Motivo de canalización,Tipo de Canalización (Receptor) *,Comentarios Adicionales,Matriz de análisis de la Ruta Materno Perinatal,Número,Momento de la ruta,Atención clave,Actividad esperada,Indicador de seguimiento,Meta establecida (Ingrese la meta institucional o territorial esperada en  porcentaje),Meta alcanzada (Ingresa el resultado logrado en porcentaje),Brecha (Se calcula como meta establecida menos meta alcanzada),Semáforo,Evidencia o fuente de verificación,Cumplimiento,Brecha identificada (Describa la diferencia entre lo esperado y lo observado),Tipo de Barrera,Barrera de acceso o continuidad,Tipo de determinante,Determinante relacionado,Relación con el problema trazador,Nivel de criticidad,Oportunidad de mejora (Propongo una acción concreta para cerrar la brecha y fortalecer la ruta),Responsable sugerido,Observaciones
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Manejo inicial de urgencia,Valoración integral primera infancia,"Valorar crecimiento, desarrollo, estado nutricional, salud bucal, visual, auditiva y entorno familiar",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Manejo inicial de urgencia,Valoración integral primera infancia,Verificar y actualizar esquema de vacunación y suplementación según edad,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Manejo inicial de urgencia,Valoración integral primera infancia,"Tamizar alteraciones del crecimiento, desarrollo, nutrición, salud visual/auditiva y violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Manejo inicial de urgencia,Valoración integral primera infancia,"Educar a cuidadores en lactancia, alimentación, crianza, cuidado y signos de alarma",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Manejo inicial de urgencia,Protección específica,"Valorar crecimiento, desarrollo, estado nutricional, salud bucal, visual, auditiva y entorno familiar",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Manejo inicial de urgencia,Protección específica,Verificar y actualizar esquema de vacunación y suplementación según edad,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Manejo inicial de urgencia,Protección específica,"Tamizar alteraciones del crecimiento, desarrollo, nutrición, salud visual/auditiva y violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Manejo inicial de urgencia,Protección específica,"Educar a cuidadores en lactancia, alimentación, crianza, cuidado y signos de alarma",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Manejo inicial de urgencia,Detección temprana,"Valorar crecimiento, desarrollo, estado nutricional, salud bucal, visual, auditiva y entorno familiar",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Manejo inicial de urgencia,Detección temprana,Verificar y actualizar esquema de vacunación y suplementación según edad,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Manejo inicial de urgencia,Detección temprana,"Tamizar alteraciones del crecimiento, desarrollo, nutrición, salud visual/auditiva y violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Manejo inicial de urgencia,Detección temprana,"Educar a cuidadores en lactancia, alimentación, crianza, cuidado y signos de alarma",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Manejo inicial de urgencia,Educación para la salud,"Valorar crecimiento, desarrollo, estado nutricional, salud bucal, visual, auditiva y entorno familiar",,Valoración integral primera infancia,,Muy bueno,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Manejo inicial de urgencia,Educación para la salud,Verificar y actualizar esquema de vacunación y suplementación según edad,,Protección específica,,Muy bueno,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Manejo inicial de urgencia,Educación para la salud,"Tamizar alteraciones del crecimiento, desarrollo, nutrición, salud visual/auditiva y violencias",,Detección temprana,,Muy bueno,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Manejo inicial de urgencia,Educación para la salud,"Educar a cuidadores en lactancia, alimentación, crianza, cuidado y signos de alarma",,Educación para la salud,,Muy bueno,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Referencia de emergencia,Valoración integral primera infancia,"Valorar crecimiento, desarrollo, estado nutricional, salud bucal, visual, auditiva y entorno familiar",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Referencia de emergencia,Valoración integral primera infancia,Verificar y actualizar esquema de vacunación y suplementación según edad,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Referencia de emergencia,Valoración integral primera infancia,"Tamizar alteraciones del crecimiento, desarrollo, nutrición, salud visual/auditiva y violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Referencia de emergencia,Valoración integral primera infancia,"Educar a cuidadores en lactancia, alimentación, crianza, cuidado y signos de alarma",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Referencia de emergencia,Protección específica,"Valorar crecimiento, desarrollo, estado nutricional, salud bucal, visual, auditiva y entorno familiar",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Referencia de emergencia,Protección específica,Verificar y actualizar esquema de vacunación y suplementación según edad,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Referencia de emergencia,Protección específica,"Tamizar alteraciones del crecimiento, desarrollo, nutrición, salud visual/auditiva y violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Referencia de emergencia,Protección específica,"Educar a cuidadores en lactancia, alimentación, crianza, cuidado y signos de alarma",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Referencia de emergencia,Detección temprana,"Valorar crecimiento, desarrollo, estado nutricional, salud bucal, visual, auditiva y entorno familiar",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Referencia de emergencia,Detección temprana,Verificar y actualizar esquema de vacunación y suplementación según edad,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Referencia de emergencia,Detección temprana,"Tamizar alteraciones del crecimiento, desarrollo, nutrición, salud visual/auditiva y violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Referencia de emergencia,Detección temprana,"Educar a cuidadores en lactancia, alimentación, crianza, cuidado y signos de alarma",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Referencia de emergencia,Educación para la salud,"Valorar crecimiento, desarrollo, estado nutricional, salud bucal, visual, auditiva y entorno familiar",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Referencia de emergencia,Educación para la salud,Verificar y actualizar esquema de vacunación y suplementación según edad,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Referencia de emergencia,Educación para la salud,"Tamizar alteraciones del crecimiento, desarrollo, nutrición, salud visual/auditiva y violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Referencia de emergencia,Educación para la salud,"Educar a cuidadores en lactancia, alimentación, crianza, cuidado y signos de alarma",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención de urgencias obstétricas,Referencia de emergencia,Educación para la salud,"Educar a cuidadores en lactancia, alimentación, crianza, cuidado y signos de alarma",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Ingreso para atención del parto,Valoración integral infancia,"Evaluar crecimiento, desarrollo, aprendizaje, salud bucal, visual, auditiva, nutrición y entorno",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Ingreso para atención del parto,Valoración integral infancia,"Verificar vacunación, salud bucal preventiva y acciones de protección según edad",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Ingreso para atención del parto,Valoración integral infancia,"Tamizar alteraciones nutricionales, visuales, auditivas, salud mental, violencias y riesgos familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Ingreso para atención del parto,Valoración integral infancia,"Fortalecer autocuidado, hábitos saludables, convivencia, actividad física y alimentación saludable",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Ingreso para atención del parto,Protección específica,"Evaluar crecimiento, desarrollo, aprendizaje, salud bucal, visual, auditiva, nutrición y entorno",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Ingreso para atención del parto,Protección específica,"Verificar vacunación, salud bucal preventiva y acciones de protección según edad",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Ingreso para atención del parto,Protección específica,"Tamizar alteraciones nutricionales, visuales, auditivas, salud mental, violencias y riesgos familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Ingreso para atención del parto,Protección específica,"Fortalecer autocuidado, hábitos saludables, convivencia, actividad física y alimentación saludable",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Ingreso para atención del parto,Detección temprana,"Evaluar crecimiento, desarrollo, aprendizaje, salud bucal, visual, auditiva, nutrición y entorno",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Ingreso para atención del parto,Detección temprana,"Verificar vacunación, salud bucal preventiva y acciones de protección según edad",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Ingreso para atención del parto,Detección temprana,"Tamizar alteraciones nutricionales, visuales, auditivas, salud mental, violencias y riesgos familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Ingreso para atención del parto,Detección temprana,"Fortalecer autocuidado, hábitos saludables, convivencia, actividad física y alimentación saludable",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Ingreso para atención del parto,Educación para la salud,"Evaluar crecimiento, desarrollo, aprendizaje, salud bucal, visual, auditiva, nutrición y entorno",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Ingreso para atención del parto,Educación para la salud,"Verificar vacunación, salud bucal preventiva y acciones de protección según edad",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Ingreso para atención del parto,Educación para la salud,"Tamizar alteraciones nutricionales, visuales, auditivas, salud mental, violencias y riesgos familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Ingreso para atención del parto,Educación para la salud,"Fortalecer autocuidado, hábitos saludables, convivencia, actividad física y alimentación saludable",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Atención segura del parto,Valoración integral infancia,"Evaluar crecimiento, desarrollo, aprendizaje, salud bucal, visual, auditiva, nutrición y entorno",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Atención segura del parto,Valoración integral infancia,"Verificar vacunación, salud bucal preventiva y acciones de protección según edad",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Atención segura del parto,Valoración integral infancia,"Tamizar alteraciones nutricionales, visuales, auditivas, salud mental, violencias y riesgos familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Atención segura del parto,Valoración integral infancia,"Fortalecer autocuidado, hábitos saludables, convivencia, actividad física y alimentación saludable",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Atención segura del parto,Protección específica,"Evaluar crecimiento, desarrollo, aprendizaje, salud bucal, visual, auditiva, nutrición y entorno",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Atención segura del parto,Protección específica,"Verificar vacunación, salud bucal preventiva y acciones de protección según edad",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Atención segura del parto,Protección específica,"Tamizar alteraciones nutricionales, visuales, auditivas, salud mental, violencias y riesgos familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Atención segura del parto,Protección específica,"Fortalecer autocuidado, hábitos saludables, convivencia, actividad física y alimentación saludable",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Atención segura del parto,Detección temprana,"Evaluar crecimiento, desarrollo, aprendizaje, salud bucal, visual, auditiva, nutrición y entorno",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Atención segura del parto,Detección temprana,"Verificar vacunación, salud bucal preventiva y acciones de protección según edad",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Atención segura del parto,Detección temprana,"Tamizar alteraciones nutricionales, visuales, auditivas, salud mental, violencias y riesgos familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Atención segura del parto,Detección temprana,"Fortalecer autocuidado, hábitos saludables, convivencia, actividad física y alimentación saludable",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Atención segura del parto,Educación para la salud,"Evaluar crecimiento, desarrollo, aprendizaje, salud bucal, visual, auditiva, nutrición y entorno",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Atención segura del parto,Educación para la salud,"Verificar vacunación, salud bucal preventiva y acciones de protección según edad",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Atención segura del parto,Educación para la salud,"Tamizar alteraciones nutricionales, visuales, auditivas, salud mental, violencias y riesgos familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Atención segura del parto,Educación para la salud,"Fortalecer autocuidado, hábitos saludables, convivencia, actividad física y alimentación saludable",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Vigilancia del posparto inmediato,Valoración integral infancia,"Evaluar crecimiento, desarrollo, aprendizaje, salud bucal, visual, auditiva, nutrición y entorno",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Vigilancia del posparto inmediato,Valoración integral infancia,"Verificar vacunación, salud bucal preventiva y acciones de protección según edad",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Vigilancia del posparto inmediato,Valoración integral infancia,"Tamizar alteraciones nutricionales, visuales, auditivas, salud mental, violencias y riesgos familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Vigilancia del posparto inmediato,Valoración integral infancia,"Fortalecer autocuidado, hábitos saludables, convivencia, actividad física y alimentación saludable",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Vigilancia del posparto inmediato,Protección específica,"Evaluar crecimiento, desarrollo, aprendizaje, salud bucal, visual, auditiva, nutrición y entorno",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Vigilancia del posparto inmediato,Protección específica,"Verificar vacunación, salud bucal preventiva y acciones de protección según edad",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Vigilancia del posparto inmediato,Protección específica,"Tamizar alteraciones nutricionales, visuales, auditivas, salud mental, violencias y riesgos familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Vigilancia del posparto inmediato,Protección específica,"Fortalecer autocuidado, hábitos saludables, convivencia, actividad física y alimentación saludable",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Vigilancia del posparto inmediato,Detección temprana,"Evaluar crecimiento, desarrollo, aprendizaje, salud bucal, visual, auditiva, nutrición y entorno",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Vigilancia del posparto inmediato,Detección temprana,"Verificar vacunación, salud bucal preventiva y acciones de protección según edad",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Vigilancia del posparto inmediato,Detección temprana,"Tamizar alteraciones nutricionales, visuales, auditivas, salud mental, violencias y riesgos familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Vigilancia del posparto inmediato,Detección temprana,"Fortalecer autocuidado, hábitos saludables, convivencia, actividad física y alimentación saludable",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Vigilancia del posparto inmediato,Educación para la salud,"Evaluar crecimiento, desarrollo, aprendizaje, salud bucal, visual, auditiva, nutrición y entorno",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Vigilancia del posparto inmediato,Educación para la salud,"Verificar vacunación, salud bucal preventiva y acciones de protección según edad",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Vigilancia del posparto inmediato,Educación para la salud,"Tamizar alteraciones nutricionales, visuales, auditivas, salud mental, violencias y riesgos familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Vigilancia del posparto inmediato,Educación para la salud,"Fortalecer autocuidado, hábitos saludables, convivencia, actividad física y alimentación saludable",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Detección temprana,Valoración integral infancia,"Evaluar crecimiento, desarrollo, aprendizaje, salud bucal, visual, auditiva, nutrición y entorno",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Detección temprana,Valoración integral infancia,"Verificar vacunación, salud bucal preventiva y acciones de protección según edad",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Detección temprana,Valoración integral infancia,"Tamizar alteraciones nutricionales, visuales, auditivas, salud mental, violencias y riesgos familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Detección temprana,Valoración integral infancia,"Fortalecer autocuidado, hábitos saludables, convivencia, actividad física y alimentación saludable",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Detección temprana,Protección específica,"Evaluar crecimiento, desarrollo, aprendizaje, salud bucal, visual, auditiva, nutrición y entorno",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Detección temprana,Protección específica,"Verificar vacunación, salud bucal preventiva y acciones de protección según edad",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Detección temprana,Protección específica,"Tamizar alteraciones nutricionales, visuales, auditivas, salud mental, violencias y riesgos familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Detección temprana,Protección específica,"Fortalecer autocuidado, hábitos saludables, convivencia, actividad física y alimentación saludable",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Detección temprana,Detección temprana,"Evaluar crecimiento, desarrollo, aprendizaje, salud bucal, visual, auditiva, nutrición y entorno",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Detección temprana,Detección temprana,"Verificar vacunación, salud bucal preventiva y acciones de protección según edad",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Detección temprana,Detección temprana,"Tamizar alteraciones nutricionales, visuales, auditivas, salud mental, violencias y riesgos familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Detección temprana,Detección temprana,"Fortalecer autocuidado, hábitos saludables, convivencia, actividad física y alimentación saludable",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Detección temprana,Educación para la salud,"Evaluar crecimiento, desarrollo, aprendizaje, salud bucal, visual, auditiva, nutrición y entorno",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Detección temprana,Educación para la salud,"Verificar vacunación, salud bucal preventiva y acciones de protección según edad",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Detección temprana,Educación para la salud,"Tamizar alteraciones nutricionales, visuales, auditivas, salud mental, violencias y riesgos familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del parto,Detección temprana,Educación para la salud,"Fortalecer autocuidado, hábitos saludables, convivencia, actividad física y alimentación saludable",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Adaptación neonatal inmediata,Valoración integral adolescencia,"Evaluar riesgos físicos, emocionales, sociales, salud mental, salud sexual y reproductiva, consumo SPA y violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Adaptación neonatal inmediata,Valoración integral adolescencia,"Brindar consejería en derechos sexuales y reproductivos, anticoncepción y prevención de ITS/embarazo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Adaptación neonatal inmediata,Valoración integral adolescencia,"Tamizar salud mental, consumo de SPA, violencias y riesgo suicida; canalizar hallazgos",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Adaptación neonatal inmediata,Valoración integral adolescencia,"Promover proyecto de vida, autocuidado, alimentación saludable, actividad física y participación",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Adaptación neonatal inmediata,Salud sexual y reproductiva,"Evaluar riesgos físicos, emocionales, sociales, salud mental, salud sexual y reproductiva, consumo SPA y violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Adaptación neonatal inmediata,Salud sexual y reproductiva,"Brindar consejería en derechos sexuales y reproductivos, anticoncepción y prevención de ITS/embarazo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Adaptación neonatal inmediata,Salud sexual y reproductiva,"Tamizar salud mental, consumo de SPA, violencias y riesgo suicida; canalizar hallazgos",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Adaptación neonatal inmediata,Salud sexual y reproductiva,"Promover proyecto de vida, autocuidado, alimentación saludable, actividad física y participación",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Adaptación neonatal inmediata,Salud mental y convivencia,"Evaluar riesgos físicos, emocionales, sociales, salud mental, salud sexual y reproductiva, consumo SPA y violencias",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Adaptación neonatal inmediata,Salud mental y convivencia,"Brindar consejería en derechos sexuales y reproductivos, anticoncepción y prevención de ITS/embarazo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Adaptación neonatal inmediata,Salud mental y convivencia,"Tamizar salud mental, consumo de SPA, violencias y riesgo suicida; canalizar hallazgos",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Adaptación neonatal inmediata,Salud mental y convivencia,"Promover proyecto de vida, autocuidado, alimentación saludable, actividad física y participación",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atención del recién nacido,Profilaxis y tamizajes neonatales,Educación para la salud,"Evaluar riesgos físicos, emocionales, sociales, salud mental, salud sexual y reproductiva, consumo SPA y violencias",,,,,,,,,,,,,,,,
